,loss,val_loss,recall,val_recall,precision,val_precision
27,0.5433616939009688,0.7235323784557449,"[0.5055195, 0.5330912, 0.5285174, 0.55083144]","[0.5744406, 0.30867347, 0.54464287, 0.5191729]","[0.54529536, 0.6097392, 0.52837485, 0.46636268]","[0.5635289, 0.13656884, 0.62397707, 0.5575293]"
28,0.46009211924001664,0.7141942539724612,"[0.5131661, 0.54548997, 0.5399114, 0.5581098]","[0.58122146, 0.31034482, 0.55310345, 0.5248639]","[0.552916, 0.6197432, 0.540146, 0.47481567]","[0.56754565, 0.13861386, 0.6337416, 0.5641826]"
29,0.4347602280526432,0.839614452806751,"[0.52060604, 0.5580979, 0.5511335, 0.5653439]","[0.59317267, 0.31190476, 0.55733335, 0.5214035]","[0.5601565, 0.62986183, 0.5518749, 0.4833019]","[0.56503445, 0.14086021, 0.64208907, 0.5689127]"
30,0.46393990245021494,0.8675291356681238,"[0.5276637, 0.56898123, 0.5610628, 0.57159925]","[0.59502524, 0.31797236, 0.57, 0.5212224]","[0.5665407, 0.6381848, 0.5626171, 0.49091175]","[0.5712687, 0.14241487, 0.64654225, 0.57490635]"
31,0.4265394963386008,0.6137021610451432,"[0.5351326, 0.5794492, 0.57100123, 0.5782077]","[0.60090363, 0.31473213, 0.580625, 0.52960527]","[0.5738804, 0.6463174, 0.5731216, 0.4985743]","[0.57679796, 0.14387755, 0.6551481, 0.5831221]"
32,0.3824779704113702,0.6412032274813493,"[0.54269975, 0.5904811, 0.580948, 0.58489656]","[0.6086163, 0.3181818, 0.5912121, 0.53301436]","[0.58112097, 0.65495634, 0.5832631, 0.50680745]","[0.5824598, 0.14685315, 0.6631543, 0.5902508]"
33,0.351520197776075,0.5922342979798227,"[0.5503565, 0.60053176, 0.5909023, 0.59134763]","[0.61516654, 0.31932774, 0.5997059, 0.5399381]","[0.5883754, 0.6628152, 0.59349656, 0.5146611]","[0.5876777, 0.1494592, 0.6718287, 0.59685147]"
34,0.3198017351168595,0.6922766593967488,"[0.558355, 0.61073446, 0.6005038, 0.59795916]","[0.6179002, 0.32040817, 0.60885715, 0.54586464]","[0.5955305, 0.6710118, 0.6032389, 0.52297217]","[0.5926048, 0.15139827, 0.67844635, 0.60238963]"
35,0.3265052575579057,0.6894360794575577,"[0.5651515, 0.6198996, 0.6092919, 0.60457087]","[0.62249, 0.3234127, 0.61694443, 0.5497076]","[0.60215247, 0.6788108, 0.61211866, 0.530432]","[0.5965362, 0.15362865, 0.6846486, 0.6086112]"
36,0.3098401061027428,0.7720769446871051,"[0.57256347, 0.62856925, 0.6179454, 0.6106106]","[0.6297623, 0.32046333, 0.6259459, 0.5487909]","[0.60860103, 0.68614054, 0.62103176, 0.5377495]","[0.59894705, 0.15413184, 0.690313, 0.61374485]"
37,0.3084578706943077,0.6169585623456199,"[0.5790271, 0.6373773, 0.6260772, 0.6164021]","[0.631896, 0.31954888, 0.63342106, 0.55484766]","[0.61450577, 0.6934088, 0.62933105, 0.54476094]","[0.6035736, 0.15539305, 0.69586587, 0.6180191]"
38,0.2943405406785451,0.7137875205702975,"[0.5857032, 0.64529914, 0.63359815, 0.62243927]","[0.6363917, 0.32051283, 0.64102566, 0.5573549]","[0.62092257, 0.699678, 0.63734406, 0.5515749]","[0.6074904, 0.15709156, 0.7010656, 0.6225505]"
39,0.2832068656858242,0.6459447797354425,"[0.5922727, 0.65275425, 0.64093196, 0.62824076]","[0.64126503, 0.32142857, 0.64775, 0.5615789]","[0.62679386, 0.70600367, 0.6448302, 0.5584034]","[0.6114302, 0.15943313, 0.70715064, 0.6267254]"
40,0.2917504595560868,0.7305724793374633,"[0.59778273, 0.65977675, 0.64784664, 0.63363016]","[0.64384365, 0.3240418, 0.652439, 0.5661104]","[0.6320725, 0.7120761, 0.6518917, 0.56440026]","[0.6157954, 0.16089965, 0.71276313, 0.6291013]"
41,0.3046088190645446,0.6715755651950519,"[0.60346323, 0.6665994, 0.6543721, 0.63851094]","[0.64744693, 0.32482994, 0.65809524, 0.5689223]","[0.63686895, 0.7175125, 0.65879726, 0.57045585]","[0.6185256, 0.16213922, 0.71773565, 0.6330173]"
42,0.24152377131978336,0.6918768025381306,"[0.60944325, 0.6734332, 0.6612384, 0.6439646]","[0.64920145, 0.32724252, 0.66302323, 0.5735618]","[0.64211464, 0.7232767, 0.665723, 0.5770121]","[0.6226821, 0.16334991, 0.72232074, 0.63633895]"
