,loss,val_loss,recall,val_recall,precision,val_precision
16,0.7772388411570472,0.6889496129612145,"[0.48199645, 0.52176803, 0.49696252, 0.503268]","[0.5520907, 0.40336135, 0.59882355, 0.5294118]","[0.49478498, 0.50015926, 0.49762613, 0.51170886]","[0.6302589, 0.12105927, 0.6256915, 0.6536697]"
17,0.7323258516318101,0.6443848932717691,"[0.496633, 0.5288763, 0.511335, 0.5154321]","[0.56358767, 0.4047619, 0.6111111, 0.54619884]","[0.50687283, 0.5090634, 0.5126263, 0.523902]","[0.6383624, 0.12515338, 0.64252335, 0.66241133]"
18,0.7080450138186113,0.7384589972849201,"[0.50845295, 0.5355337, 0.5261832, 0.5277082]","[0.57324034, 0.40601504, 0.6231579, 0.55734074]","[0.5182897, 0.51790076, 0.5269517, 0.535084]","[0.64433354, 0.12781066, 0.6577778, 0.6706667]"
19,0.7294925592617519,0.6561012559822339,"[0.5193939, 0.5416667, 0.53967255, 0.5375661]","[0.5849398, 0.4107143, 0.629, 0.5668421]","[0.5270603, 0.52570254, 0.54089874, 0.54484516]","[0.65124077, 0.12979683, 0.6702184, 0.67906684]"
20,0.6707717924136014,0.568417264516577,"[0.5304473, 0.54761904, 0.5543961, 0.54812294]","[0.5926563, 0.4217687, 0.637619, 0.5779449]","[0.5375055, 0.53390163, 0.55466217, 0.55483294]","[0.65462613, 0.13762486, 0.683512, 0.68063754]"
21,0.6744838246102359,0.5738817464858484,"[0.5399449, 0.55405754, 0.5651477, 0.5575998]","[0.6056955, 0.42857143, 0.64954543, 0.5827751]","[0.546875, 0.5400501, 0.5664448, 0.56370044]","[0.659118, 0.14332248, 0.6967333, 0.686584]"
22,0.6278303867270696,0.7774702590249944,"[0.54967064, 0.5603046, 0.57671666, 0.56786287]","[0.6212677, 0.42546585, 0.6547826, 0.58169335]","[0.5561925, 0.5475276, 0.5783, 0.57287073]","[0.6534435, 0.14589989, 0.7070423, 0.69377726]"
23,0.6128703200235723,0.6253673657447009,"[0.5585859, 0.5672081, 0.5875315, 0.57539684]","[0.62198794, 0.42559522, 0.6675, 0.58859646]","[0.56378233, 0.5556324, 0.5891391, 0.58038694]","[0.6576433, 0.14895834, 0.7148594, 0.69786793]"
24,0.5771255875107185,0.7351297637653436,"[0.568, 0.5732203, 0.5981864, 0.5825397]","[0.6279518, 0.43714285, 0.6712, 0.59410524]","[0.57167256, 0.56241685, 0.5996364, 0.5883296]","[0.6644569, 0.15073891, 0.72141016, 0.7062062]"
25,0.549476544413536,0.5149246177612964,"[0.5783217, 0.57887876, 0.60773104, 0.59076107]","[0.6376274, 0.42582417, 0.68115383, 0.6020243]","[0.5799439, 0.5690484, 0.60985804, 0.59677255]","[0.6686103, 0.15121952, 0.7309121, 0.71284753]"
26,0.5323998611427803,0.499891031082171,"[0.5883277, 0.5848504, 0.6181547, 0.5975897]","[0.6443552, 0.42592594, 0.69074076, 0.6093567]","[0.58859193, 0.57599175, 0.6196577, 0.6045198]","[0.6744512, 0.15451056, 0.7365719, 0.7206086]"
27,0.5329906436594094,0.6254496016286071,"[0.59632033, 0.58968925, 0.627294, 0.6041194]","[0.6531842, 0.4260204, 0.6975, 0.6093985]","[0.5957401, 0.58136064, 0.62887806, 0.6112226]","[0.67466664, 0.15651359, 0.74371666, 0.72592926]"
28,0.5245863436778676,0.523304968619289,"[0.6042842, 0.5947789, 0.635803, 0.61129355]","[0.6551724, 0.42610836, 0.70448273, 0.6188748]","[0.6027098, 0.587737, 0.6375196, 0.61788845]","[0.6797414, 0.15900736, 0.7511029, 0.72863245]"
29,0.48535644591956867,0.5494029960134195,"[0.6120202, 0.60065913, 0.64441645, 0.6177249]","[0.66385543, 0.43095237, 0.7123333, 0.6214035]","[0.6099255, 0.59383726, 0.646207, 0.62449855]","[0.68334025, 0.16306306, 0.75807023, 0.7342454]"
30,0.4850188179663588,0.6480356138566356,"[0.6188661, 0.6064334, 0.6526367, 0.6243386]","[0.6673144, 0.437788, 0.71387094, 0.629202]","[0.6163357, 0.6001984, 0.6541249, 0.6312338]","[0.68790066, 0.1665206, 0.76389366, 0.73590153]"
31,0.4908314681962663,0.5654469824418799,"[0.62395835, 0.61219984, 0.6605793, 0.6306217]","[0.6739458, 0.4375, 0.7178125, 0.6319079]","[0.62183845, 0.60572976, 0.662352, 0.63710016]","[0.68899155, 0.16766468, 0.76925653, 0.7414126]"
32,0.5023040428594773,0.48822184626993004,"[0.62966025, 0.6163328, 0.6671246, 0.6359628]","[0.67834973, 0.43506494, 0.72424245, 0.6373206]","[0.6267825, 0.6100661, 0.669219, 0.64260834]","[0.693025, 0.16904962, 0.7754705, 0.74441135]"
33,0.4474390015056465,0.6821248390338478,"[0.63582885, 0.6214689, 0.6745444, 0.64091194]","[0.68284905, 0.44117647, 0.73058826, 0.63374615]","[0.63205457, 0.615942, 0.67644876, 0.64781755]","[0.6941643, 0.17017828, 0.7806411, 0.7481725]"
34,0.45389943401068145,0.4856747067760683,"[0.6419048, 0.62566584, 0.68074846, 0.6463341]","[0.68846816, 0.44489795, 0.736, 0.63789475]","[0.63737965, 0.6209051, 0.6830096, 0.65279794]","[0.69662136, 0.1738437, 0.78608483, 0.75266147]"
35,0.3793673005923611,0.6303696937497054,"[0.6483165, 0.63182676, 0.6873076, 0.6526308]","[0.6890897, 0.4563492, 0.7386111, 0.6421053]","[0.6440338, 0.6269075, 0.6898174, 0.658779]","[0.70057845, 0.17638037, 0.7897238, 0.7567195]"
